ProductID,ProductName,Category,UnitPrice,Supplier
183,Huggies Diaper Size 4,Beauty,38716.5,TrueBeauty Industries
184,Binatone Fan,Household,73704.54,Superior Appliances Inc.
185,Binatone Fan,Household,152727.11,Comfort Living Enterprises
186,Dangote Sugar 1kg,Groceries,17431.91,FreshHarvest Intl.
187,LG 55-inch TV,Household,56287.67,EssentialWare Ltd.
188,Huggies Diaper Size 4,Beauty,4534.82,Radiant Cosmetics Ltd.
189,LG 55-inch TV,Household,75845.62,HomeEase Supplies Ltd.
190,Huggies Diaper Size 4,Beauty,22871.29,GlowCare Enterprises
191,Always Ultra Pad,Beauty,29552.18,PureSkin Products Co.
192,Rolex Watch,Clothing,251918.5,Jones & Smith LLC
193,Adidas Sneakers,Clothing,778602.45,Continental Textiles Ltd.
194,Panasonic Blender,Household,268567.17,EssentialWare Ltd.
195,Close Up Toothpaste 140g,Beauty,11970.31,GlowCare Enterprises
196,Huggies Diaper Size 4,Beauty,3236.29,PureSkin Products Co.
197,Lipton Yellow Label Tea 100 bags,Groceries,13744.41,FreshHarvest Intl.
198,Rolex Watch,Clothing,272943.64,Continental Textiles Ltd.
199,Adidas Sneakers,Clothing,726057.3,UrbanWear Co.
200,Panasonic Blender,Household,273155.66,Superior Appliances Inc.
201,Close Up Toothpaste 140g,Beauty,33967.97,PureSkin Products Co.
202,HP Pavilion Laptop,Electronics,135186.11,FutureTech Systems
203,Huggies Diaper Size 4,Beauty,26591.39,TrueBeauty Industries
204,Infinix Hot 12,Electronics,1093239.79,NextGen Electronics Ltd.
205,Always Ultra Pad,Beauty,15517.47,GlowCare Enterprises
206,Omo Detergent 1kg,Groceries,38131.22,FreshHarvest Intl.
207,Binatone Fan,Household,48396.57,Comfort Living Enterprises
208,Huggies Diaper Size 4,Beauty,7388.49,GlowCare Enterprises
209,Casio Wristwatch,Clothing,357144.13,Jones & Smith LLC
210,LG 55-inch TV,Electronics,224564.1,Global Gadgets Inc.
211,Rolex Watch,Clothing,160437.59,UrbanWear Co.
212,LG 55-inch TV,Household,228290.66,EssentialWare Ltd.
213,LG 55-inch TV,Household,168982.98,EssentialWare Ltd.
214,Casio Wristwatch,Clothing,342603.91,Continental Textiles Ltd.
215,Casio Wristwatch,Clothing,47484.04,Elite Fashion Group
216,Nike Airforce 1,Clothing,132537.47,Elite Fashion Group
217,Always Ultra Pad,Beauty,11138.47,TrueBeauty Industries
218,Apple iPhone 13,Electronics,910329.5,TechWorld Ltd.
219,Pampers Baby Diaper Size 3,Beauty,49943.51,GlowCare Enterprises
220,Indomie Noodles (Super Pack),Groceries,33618.61,FreshHarvest Intl.
221,Adidas Sneakers,Clothing,413669.62,Continental Textiles Ltd.
222,Dangote Sugar 1kg,Groceries,11357.5,WestAfrica Provisions Co.
223,Binatone Fan,Household,285472.47,Comfort Living Enterprises
224,LG 55-inch TV,Electronics,474915.77,Global Gadgets Inc.
225,Coca-Cola 50cl,Groceries,27867.74,WestAfrica Provisions Co.
226,Binatone Fan,Household,282233.73,Superior Appliances Inc.
227,Nike Airforce 1,Clothing,315835.46,Elite Fashion Group
228,Panasonic Blender,Electronics,305840.51,TechWorld Ltd.
229,Binatone Fan,Household,50487.64,HomeEase Supplies Ltd.
230,Pepsi 50cl,Groceries,39252.51,AgroFoods Nigeria Ltd.
231,LG 55-inch TV,Household,264219.24,HomeEase Supplies Ltd.
232,Always Ultra Pad,Beauty,5834.99,GlowCare Enterprises
233,Huggies Diaper Size 4,Beauty,26482.19,Radiant Cosmetics Ltd.
234,Pepsi 50cl,Groceries,37374.69,PrimeMart Distributors
235,Panasonic Blender,Household,119599.57,Superior Appliances Inc.
236,Itel P38,Electronics,1175585.13,Global Gadgets Inc.
237,Rolex Watch,Clothing,685681,Continental Textiles Ltd.
238,Dell Inspiron Laptop,Electronics,557499.6,TechWorld Ltd.
239,MacBook Pro 2021,Electronics,85505.33,Innovatek Solutions
240,Dangote Sugar 1kg,Groceries,35517.15,PrimeMart Distributors
241,Bournvita 500g,Groceries,27394.06,AgroFoods Nigeria Ltd.
242,Adidas Sneakers,Clothing,316882.99,UrbanWear Co.
243,Rolex Watch,Clothing,44645.42,Elite Fashion Group
244,Casio Wristwatch,Clothing,249383.77,Royal Apparel Ltd.
245,Always Ultra Pad,Beauty,26199.37,GlowCare Enterprises
246,Coca-Cola 50cl,Groceries,31122.92,FreshHarvest Intl.
247,LG 55-inch TV,Household,123257.68,Superior Appliances Inc.
248,Always Ultra Pad,Beauty,45718.09,Radiant Cosmetics Ltd.
249,Always Ultra Pad,Beauty,29265.32,NaturaCare Intl.
250,Itel P38,Electronics,1049748.44,NextGen Electronics Ltd.
251,LG 55-inch TV,Electronics,1178493.82,Innovatek Solutions
252,Close Up Toothpaste 140g,Beauty,27697.03,TrueBeauty Industries
253,Lipton Yellow Label Tea 100 bags,Groceries,20538.47,PrimeMart Distributors
254,Close Up Toothpaste 140g,Beauty,10406.79,GlowCare Enterprises
255,Always Ultra Pad,Beauty,25182.42,Radiant Cosmetics Ltd.
256,Nike Airforce 1,Clothing,698517.18,Jones & Smith LLC
257,Nike Airforce 1,Clothing,175888.27,Continental Textiles Ltd.
258,LG 55-inch TV,Household,8076.39,Comfort Living Enterprises
259,Close Up Toothpaste 140g,Beauty,5706.46,TrueBeauty Industries
260,Pepsi 50cl,Groceries,42944.22,PrimeMart Distributors
261,Pepsi 50cl,Groceries,2184.8,PrimeMart Distributors
262,Rolex Watch,Clothing,796546.78,UrbanWear Co.
263,iPad Pro 12.9,Electronics,646038.21,TechWorld Ltd.
264,Nike Airforce 1,Clothing,682291.85,UrbanWear Co.
265,Samsung Galaxy S21,Electronics,70999.21,TechWorld Ltd.
266,Bournvita 500g,Groceries,41899.39,WestAfrica Provisions Co.
267,Louis Vuitton Bag,Clothing,449927.57,Elite Fashion Group
268,LG 55-inch TV,Household,16081.5,Superior Appliances Inc.
269,Indomie Noodles (Super Pack),Groceries,23160.75,WestAfrica Provisions Co.
270,Rolex Watch,Clothing,549399.71,Elite Fashion Group
271,Casio Wristwatch,Clothing,593513.57,Royal Apparel Ltd.
272,LG 55-inch TV,Household,282355.86,Superior Appliances Inc.
273,LG 55-inch TV,Household,235365.95,SafeHome Products Co.
274,Adidas Sneakers,Clothing,401587.5,UrbanWear Co.
275,Panasonic Blender,Electronics,146725.1,Innovatek Solutions
276,Pampers Baby Diaper Size 3,Beauty,3695.8,GlowCare Enterprises
277,Bournvita 500g,Groceries,9656.58,PrimeMart Distributors
278,Samsung Galaxy S21,Electronics,358883.17,Innovatek Solutions
279,Nike Airforce 1,Clothing,99377.04,Jones & Smith LLC
280,Close Up Toothpaste 140g,Beauty,9226.43,Radiant Cosmetics Ltd.
281,Omo Detergent 1kg,Groceries,36742.77,WestAfrica Provisions Co.
282,Close Up Toothpaste 140g,Beauty,41995.41,GlowCare Enterprises
283,Louis Vuitton Bag,Clothing,777848.79,Jones & Smith LLC
284,Adidas Sneakers,Clothing,231850.13,Jones & Smith LLC
285,Panasonic Blender,Household,283598.25,SafeHome Products Co.
286,Omo Detergent 1kg,Groceries,49620.46,WestAfrica Provisions Co.
287,Louis Vuitton Bag,Clothing,400336.99,UrbanWear Co.
288,Dell Inspiron Laptop,Electronics,603196.18,NextGen Electronics Ltd.
289,LG 55-inch TV,Household,237895.9,EssentialWare Ltd.
290,Panasonic Blender,Household,197637.01,HomeEase Supplies Ltd.
291,Dell Inspiron Laptop,Electronics,1050535.62,NextGen Electronics Ltd.
292,LG 55-inch TV,Household,127484.64,Superior Appliances Inc.
293,Binatone Fan,Household,137447.06,HomeEase Supplies Ltd.
294,Binatone Fan,Household,154668.41,SafeHome Products Co.
295,Rolex Watch,Clothing,164890.54,UrbanWear Co.
296,Dell Inspiron Laptop,Electronics,1112176.78,NextGen Electronics Ltd.
297,Close Up Toothpaste 140g,Beauty,14613.66,TrueBeauty Industries
298,Close Up Toothpaste 140g,Beauty,26427.46,Radiant Cosmetics Ltd.
299,Pampers Baby Diaper Size 3,Beauty,8649.51,Radiant Cosmetics Ltd.
300,Pampers Baby Diaper Size 3,Beauty,40788.47,NaturaCare Intl.
